sp_elev,sp,elevation,year,month,monthly_pet,monthly_tmed,monthly_prec
halepensis_high,halepensis,high,1971,1,12.518494569425728,5.096774224312075,38.39999933540821
halepensis_high,halepensis,high,1971,2,17.39976618807499,6.585714331695011,0.800000011920929
halepensis_high,halepensis,high,1971,3,14.745768439157985,5.0096773966666195,49.80000048875809
halepensis_high,halepensis,high,1971,4,28.64441001969505,7.826666649182638,145.09999967366457
halepensis_high,halepensis,high,1971,5,43.668134909388606,9.887096835720923,36.199999772012234
halepensis_high,halepensis,high,1971,6,80.46104348120991,15.553333314259849,10.200000047683716
halepensis_high,halepensis,high,1971,7,121.22547008399115,20.858064713016635,2.700000047683716
halepensis_high,halepensis,high,1971,8,125.14044661380176,22.4000000492219,0.8000000044703484
halepensis_high,halepensis,high,1971,9,82.27397236014586,17.983333333333334,3.5999999716877937
halepensis_high,halepensis,high,1971,10,56.563934194168375,14.322580706688663,0.6000000089406967
halepensis_high,halepensis,high,1971,11,12.121450902325993,4.989999984701474,34.79999993741512
halepensis_high,halepensis,high,1971,12,10.906434765331923,4.68387097120285,81.200000166893
halepensis_high,halepensis,high,1972,1,7.25752474537167,3.3870968169743016,35.899999998509884
halepensis_high,halepensis,high,1972,2,10.747877519208174,4.589655171180594,15.700000271201134
halepensis_high,halepensis,high,1972,3,18.89257655492745,6.032258056825207,26.999999769032
halepensis_high,halepensis,high,1972,4,36.74697417409247,9.433333381017048,11.299999810755253
halepensis_high,halepensis,high,1972,5,55.632586605889294,11.854838740441108,16.19999996572733
halepensis_high,halepensis,high,1972,6,89.2020306744898,16.803333441416424,11.30000014603138
halepensis_high,halepensis,high,1972,7,122.30219171096655,20.996774365825036,0.20000000298023224
halepensis_high,halepensis,high,1972,8,110.71730135517792,20.43548387096774,1.100000001490116
halepensis_high,halepensis,high,1972,9,62.75776706780083,14.680000082651777,31.399999894201756
halepensis_high,halepensis,high,1972,10,42.28424916625803,11.51612909378544,94.99999924749136
halepensis_high,halepensis,high,1972,11,26.53230573141864,8.97666662534078,54.10000043362379
halepensis_high,halepensis,high,1972,12,13.639917950149156,5.538709698184844,1.000000037252903
halepensis_high,halepensis,high,1973,1,11.18413895056024,4.683870938516432,20.30000002682209
halepensis_high,halepensis,high,1973,2,9.213820113850824,4.089285718543189,13.200000002980232
halepensis_high,halepensis,high,1973,3,19.678358821604434,6.219354821789649,57.89999967813492
halepensis_high,halepensis,high,1973,4,37.476350485377885,9.573333358764648,4.800000071525574
halepensis_high,halepensis,high,1973,5,70.35195663879809,14.135483834051318,20.399999633431435
halepensis_high,halepensis,high,1973,6,90.33699637020538,16.963333161671958,6.699999809265137
halepensis_high,halepensis,high,1973,7,124.86577203382708,21.325806525445753,0
halepensis_high,halepensis,high,1973,8,125.8863259281944,22.500000061527377,3.699999906122685
halepensis_high,halepensis,high,1973,9,91.97288481807573,19.54999984105428,0
halepensis_high,halepensis,high,1973,10,48.18091513007843,12.699999993847262,129.0000028163195
halepensis_high,halepensis,high,1973,11,29.705937717492915,9.76999994913737,27.79999953508377
halepensis_high,halepensis,high,1973,12,11.766445213676024,4.958064494594451,86.30000001937151
halepensis_high,halepensis,high,1974,1,19.611221977156937,7.135483941724224,3.200000002980232
halepensis_high,halepensis,high,1974,2,11.52341884194237,4.835714255060468,23.20000012218952
