sp,elevation,year,precip_total_anual
halepensis,high,1971,404.19999946653843
halepensis,high,1972,300.19999957829714
halepensis,high,1973,370.1000014990569
halepensis,high,1974,155.79999969899654
halepensis,high,1975,252.80000011622906
halepensis,high,1976,362.6999996304512
halepensis,high,1977,229.49999783188105
halepensis,high,1978,326.69999910146
halepensis,high,1979,370.3999992534518
halepensis,high,1980,183.59999927133322
halepensis,high,1981,191.90000151842833
halepensis,high,1982,289.7999993786216
halepensis,high,1983,161.8999996110797
halepensis,high,1984,333.0999990180135
halepensis,high,1985,212.60000129789114
halepensis,high,1986,256.3000011816621
halepensis,high,1987,303.20000115036964
halepensis,high,1988,209.90000058710575
halepensis,high,1989,568.5000003650784
halepensis,high,1990,308.8000014871359
halepensis,high,1991,243.39999970048666
halepensis,high,1992,337.8999967947602
halepensis,high,1993,219.59999906271696
halepensis,high,1994,215.49999875575304
halepensis,high,1995,214.60000030696392
halepensis,high,1996,466.69999887794256
halepensis,high,1997,539.1000016331673
halepensis,high,1998,248.90000146627426
halepensis,high,1999,231.00000173598528
halepensis,high,2000,314.799997754395
halepensis,high,2001,361.5999995842576
halepensis,high,2002,330.49999714642763
halepensis,high,2003,327.2999994158745
halepensis,high,2004,348.60000076144934
halepensis,high,2005,144.89999966323376
halepensis,high,2006,327.6999967843294
halepensis,high,2007,332.4999990016222
halepensis,high,2008,265.5999967828393
halepensis,high,2009,358.10000091046095
halepensis,high,2010,484.29999846965075
halepensis,high,2011,330.90000236034393
halepensis,high,2012,290.0000010281801
halepensis,high,2013,215.9000003412366
halepensis,high,2014,222.19999845325947
halepensis,high,2015,214.10000102221966
halepensis,high,2016,273.99999909847975
halepensis,high,2017,171.40000071376562
halepensis,high,2018,395.5000011101365
halepensis,high,2019,204.69999977946281
halepensis,high,2020,275.8000015541911
halepensis,high,2021,196.6000018119812
halepensis,high,2022,254.3999996110797
halepensis,low,1971,308.2000029683113
halepensis,low,1972,185.29999941587448
halepensis,low,1973,225.10000374913216
halepensis,low,1974,102.29999972879887
halepensis,low,1975,190.60000015050173
halepensis,low,1976,145.8000003695488
halepensis,low,1977,139.4999968931079
halepensis,low,1978,92.09999947994947
halepensis,low,1979,141.50000013411045
halepensis,low,1980,130.99999810010195
halepensis,low,1981,93.30000097304583
halepensis,low,1982,213.89999779313803
halepensis,low,1983,127.40000000596045
halepensis,low,1984,115.20000034570694
halepensis,low,1985,158.60000017285347
halepensis,low,1986,196.8000002503395
halepensis,low,1987,230.00000008940697
halepensis,low,1988,189.40000078082085
halepensis,low,1989,677.0999990180135
halepensis,low,1990,224.29999792575836
halepensis,low,1991,187.30000046640635
halepensis,low,1992,331.19999753683805
halepensis,low,1993,160.3000001758337
halepensis,low,1994,206.0999994277954
halepensis,low,1995,105.69999946653843
halepensis,low,1996,397.40000128000975
halepensis,low,1997,358.49999932199717
halepensis,low,1998,168.80000070482492
halepensis,low,1999,208.70000026375055
halepensis,low,2000,219.40000204741955
halepensis,low,2001,208.40000267326832
halepensis,low,2002,217.70000104606152
halepensis,low,2003,213.39999709278345
halepensis,low,2004,318.9999997392297
halepensis,low,2005,101.79999958723783
halepensis,low,2006,260.6000011488795
halepensis,low,2007,167.70000171661377
halepensis,low,2008,256.4999977722764
halepensis,low,2009,325.6999995186925
halepensis,low,2010,436.5999972075224
halepensis,low,2011,203.19999950379133
halepensis,low,2012,207.8000002503395
halepensis,low,2013,181.29999915510416
halepensis,low,2014,142.9000000655651
halepensis,low,2015,223.69999691843987
halepensis,low,2016,282.99999894946814
halepensis,low,2017,140.09999951720238
halepensis,low,2018,337.79999931901693
halepensis,low,2019,104.80000095069408
halepensis,low,2020,199.49999978393316
halepensis,low,2021,239.99999929964542
halepensis,low,2022,303.7000016719103
halepensis,medium,1971,313.400001257658
halepensis,medium,1972,187.80000004172325
halepensis,medium,1973,219.7999998703599
halepensis,medium,1974,107.50000121444464
halepensis,medium,1975,191.79999912530184
halepensis,medium,1976,142.89999781548977
halepensis,medium,1977,137.80000137537718
halepensis,medium,1978,97.50000063329935
halepensis,medium,1979,143.49999871850014
halepensis,medium,1980,127.70000119507313
halepensis,medium,1981,91.89999985694885
halepensis,medium,1982,221.10000129044056
halepensis,medium,1983,126.89999948441984
halepensis,medium,1984,114.79999932646751
halepensis,medium,1985,147.59999953955412
halepensis,medium,1986,201.00000227987766
halepensis,medium,1987,229.2000002115965
halepensis,medium,1988,215.39999942481518
halepensis,medium,1989,704.100002206862
halepensis,medium,1990,210.50000073760748
halepensis,medium,1991,172.60000124573708
halepensis,medium,1992,335.7000010237098
halepensis,medium,1993,166.29999905079603
halepensis,medium,1994,218.90000158548355
halepensis,medium,1995,99.90000104159117
halepensis,medium,1996,398.89999621361494
halepensis,medium,1997,380.3000010699034
halepensis,medium,1998,166.29999997466803
halepensis,medium,1999,217.00000081211329
halepensis,medium,2000,225.7000025510788
halepensis,medium,2001,202.9000008329749
halepensis,medium,2002,222.2000004425645
halepensis,medium,2003,198.99999925494194
halepensis,medium,2004,323.20000033825636
halepensis,medium,2005,107.29999854415655
halepensis,medium,2006,266.1000007688999
halepensis,medium,2007,171.79999891668558
halepensis,medium,2008,260.89999843388796
halepensis,medium,2009,320.70000037550926
halepensis,medium,2010,436.90000319480896
halepensis,medium,2011,203.90000098198652
halepensis,medium,2012,211.90000101178885
halepensis,medium,2013,176.19999984651804
halepensis,medium,2014,142.30000110715628
halepensis,medium,2015,229.49999821931124
halepensis,medium,2016,296.0000009983778
halepensis,medium,2017,143.10000048577785
halepensis,medium,2018,331.49999879300594
halepensis,medium,2019,101.40000067651272
halepensis,medium,2020,196.60000074654818
halepensis,medium,2021,243.50000220537186
halepensis,medium,2022,313.29999988526106
nigra,high,1971,475.2000014409423
nigra,high,1972,461.4000005275011
nigra,high,1973,582.6000035181642
nigra,high,1974,232.29999972134829
nigra,high,1975,381.49999801814556
nigra,high,1976,482.9000032991171
nigra,high,1977,288.9999990835786
nigra,high,1978,453.4000038355589
nigra,high,1979,522.399999640882
nigra,high,1980,254.09999972581863
nigra,high,1981,307.19999965280294
nigra,high,1982,349.1999983936548
