sp,elevation,precip_media,precip_sd
halepensis,high,291.34807677953864,93.4606102388593
halepensis,low,217.42307676776096,102.93657961664519
halepensis,medium,219.500000312208,106.54136292343222
nigra,high,344.351923228743,118.36559940989665
nigra,low,323.90384621961186,106.80990603846143
nigra,medium,329.0192310416068,110.0498924638364
pinaster,high,400.28269261351,148.70048789604425
pinaster,low,311.3576928629325,101.59474368158176
pinaster,medium,345.29038469608014,119.49727396870124
sylvestris,high,638.7788459523939,273.8490181204929
sylvestris,low,639.1730775477795,273.48983859346816
sylvestris,medium,640.0461535711701,273.4249827834271
