sp,year,temp_media_anual
halepensis,1971,12.228541993212835
halepensis,1972,12.152070933983822
halepensis,1973,12.994868561988282
halepensis,1974,13.080304228783387
halepensis,1975,12.505381679378246
halepensis,1976,11.90561726985046
halepensis,1977,12.550786407410152
halepensis,1978,12.609410093386343
halepensis,1979,12.725202683459717
halepensis,1980,12.418853568874892
halepensis,1981,13.640397233569514
halepensis,1982,13.080060374992133
halepensis,1983,14.009977587061691
halepensis,1984,12.646688091611137
halepensis,1985,13.969317710110772
halepensis,1986,13.598258017421909
halepensis,1987,13.935712594927447
halepensis,1988,13.77820634674785
halepensis,1989,14.036696321809327
halepensis,1990,13.983614966696194
halepensis,1991,13.499444029723994
halepensis,1992,13.203863243482578
halepensis,1993,12.888745310451288
halepensis,1994,14.650500090659952
halepensis,1995,14.393031885424437
halepensis,1996,12.858481569784324
halepensis,1997,13.735587134755885
halepensis,1998,13.927185542246809
halepensis,1999,14.106357524992177
halepensis,2000,14.088721211282774
halepensis,2001,14.341910099946242
halepensis,2002,14.078717791485815
halepensis,2003,13.861446708486877
halepensis,2004,13.592957926334437
halepensis,2005,13.49564283761145
halepensis,2006,13.989289122169343
halepensis,2007,13.535292314028965
halepensis,2008,13.477714844390855
halepensis,2009,14.336455669425483
halepensis,2010,13.477072458219766
halepensis,2011,13.894377676426682
halepensis,2012,13.996310318608254
halepensis,2013,13.319062348419298
halepensis,2014,14.290701269412441
halepensis,2015,14.471027469668233
halepensis,2016,14.133141132356785
halepensis,2017,14.558186135234042
halepensis,2018,13.305519943076016
halepensis,2019,14.204631539191945
halepensis,2020,14.648002827098018
halepensis,2021,14.357397156843495
halepensis,2022,15.53346902190174
nigra,1971,9.362629494553914
nigra,1972,9.336537191334875
nigra,1973,10.477440909949154
nigra,1974,10.639802006900709
nigra,1975,9.706385689546494
nigra,1976,8.99501258156069
nigra,1977,9.572070116160607
nigra,1978,9.549299807498098
nigra,1979,9.850833119619635
nigra,1980,9.720910054280067
nigra,1981,11.124446996087475
nigra,1982,10.437226276373627
nigra,1983,11.714124632823989
nigra,1984,9.954081598700983
nigra,1985,11.488244168206675
nigra,1986,11.097377112575424
nigra,1987,11.341469111969165
nigra,1988,10.988890635552167
nigra,1989,11.226474873220077
nigra,1990,11.165526124075937
nigra,1991,10.900613155078275
nigra,1992,10.58106713337219
nigra,1993,10.195091526958164
nigra,1994,12.210240433865103
nigra,1995,11.842815116024365
nigra,1996,10.2728324802503
nigra,1997,11.144075571816337
nigra,1998,11.661872328280541
nigra,1999,11.867028712771784
nigra,2000,11.710026784107999
nigra,2001,11.738268070973113
nigra,2002,11.578878635149891
nigra,2003,11.120371016825912
nigra,2004,10.987045170002844
nigra,2005,11.077088888768404
nigra,2006,11.190078312701434
nigra,2007,10.712927346234117
nigra,2008,10.506545955592998
nigra,2009,11.667759852413054
nigra,2010,10.826210958307428
nigra,2011,11.021187485734684
nigra,2012,11.334076232954002
nigra,2013,10.362136454755458
nigra,2014,11.276337679862555
nigra,2015,11.68701228355497
nigra,2016,11.230887733805593
nigra,2017,12.033095887212493
nigra,2018,10.394979732749146
nigra,2019,11.537923931000067
nigra,2020,11.82409866754536
nigra,2021,11.71579215274944
nigra,2022,13.246867632480406
pinaster,1971,9.973727598776785
pinaster,1972,9.997127884751977
pinaster,1973,11.04058477277884
pinaster,1974,11.125245151373893
pinaster,1975,10.309629209558851
pinaster,1976,9.64336835163293
pinaster,1977,10.18333590246038
pinaster,1978,10.237543087609698
pinaster,1979,10.587634197961766
pinaster,1980,10.45203581830502
pinaster,1981,11.749052728142956
pinaster,1982,11.087847747391065
pinaster,1983,12.294529581598793
pinaster,1984,10.613033010580663
pinaster,1985,12.098795016335153
pinaster,1986,11.645759944926727
pinaster,1987,11.91407813087343
pinaster,1988,11.56786822320892
pinaster,1989,11.889529143533341
pinaster,1990,11.791990326776181
pinaster,1991,11.430088115801626
pinaster,1992,11.100388597720594
pinaster,1993,10.77928870554405
pinaster,1994,12.672542028469728
pinaster,1995,12.395311061392281
pinaster,1996,10.899722856320068
pinaster,1997,11.726109395727622
pinaster,1998,12.16174241523868
pinaster,1999,12.34007977635181
pinaster,2000,12.265062935080222
pinaster,2001,12.27854496648789
pinaster,2002,12.094921050188237
pinaster,2003,11.687862262494555
pinaster,2004,11.583120659024724
pinaster,2005,11.637481421179276
pinaster,2006,11.806286051213016
pinaster,2007,11.307518997512641
pinaster,2008,11.068129291000007
pinaster,2009,12.20175777179839
pinaster,2010,11.412741514398185
pinaster,2011,11.703584243532303
pinaster,2012,11.979803280849739
pinaster,2013,10.987871865763319
pinaster,2014,11.943547519890918
pinaster,2015,12.380826526911722
pinaster,2016,11.92629216572422
pinaster,2017,12.687522181471227
pinaster,2018,11.183433821964067
pinaster,2019,12.225030502818498
pinaster,2020,12.425385934896257
pinaster,2021,12.334737565325941
pinaster,2022,13.763686655982337
sylvestris,1971,8.403756604019446
sylvestris,1972,8.24369638976538
sylvestris,1973,9.551606085193653
sylvestris,1974,9.905525269348923
sylvestris,1975,8.93068634612911
sylvestris,1976,8.069498924523783
sylvestris,1977,9.003866914830043
sylvestris,1978,8.792536698301967
sylvestris,1979,8.930443554058977
sylvestris,1980,8.87250238562422
sylvestris,1981,10.183995365847
sylvestris,1982,9.56616188509213
sylvestris,1983,11.000558126011342
sylvestris,1984,9.176369939932249
sylvestris,1985,10.872503199716332
sylvestris,1986,10.480785106985195
sylvestris,1987,10.629422894009377
sylvestris,1988,10.2930154951735
sylvestris,1989,10.36616380177125
sylvestris,1990,10.3091702998251
sylvestris,1991,10.18096561986989
sylvestris,1992,9.998027235697387
sylvestris,1993,9.576398916656993
sylvestris,1994,11.7822636061345
sylvestris,1995,11.288796731882353
sylvestris,1996,9.388506980205436
sylvestris,1997,10.465724088890338
sylvestris,1998,11.1874773820302
sylvestris,1999,11.417706089070883
sylvestris,2000,11.059436937080655
sylvestris,2001,11.404604042617896
sylvestris,2002,11.328401388098612
sylvestris,2003,10.551134568047498
sylvestris,2004,10.17142371137732
sylvestris,2005,10.294364869685275
sylvestris,2006,10.44688620905154
