sp,elevation,year,temp_media_anual
halepensis,high,1971,11.266426042500164
halepensis,high,1972,11.187023278717525
halepensis,high,1973,12.205711058245306
halepensis,high,1974,12.334365054566739
halepensis,high,1975,11.546242966791697
halepensis,high,1976,11.030589581272382
halepensis,high,1977,11.53068035318036
halepensis,high,1978,11.565171531270055
halepensis,high,1979,11.724247978960344
halepensis,high,1980,11.526654310245538
halepensis,high,1981,12.771543736611642
halepensis,high,1982,12.21350486688106
halepensis,high,1983,13.238639268218943
halepensis,high,1984,11.710370162463855
halepensis,high,1985,13.045617629567241
halepensis,high,1986,12.710241267437576
halepensis,high,1987,13.045517170578298
halepensis,high,1988,12.834226315384107
halepensis,high,1989,13.087681134737155
halepensis,high,1990,13.013342952524361
halepensis,high,1991,12.614634526969223
halepensis,high,1992,12.325898213442008
halepensis,high,1993,11.920526794180526
halepensis,high,1994,13.751171915047347
halepensis,high,1995,13.526611638935908
halepensis,high,1996,12.024235926074748
halepensis,high,1997,12.864193581520016
halepensis,high,1998,13.082729775714176
halepensis,high,1999,13.303073465093853
halepensis,high,2000,13.209710514202149
halepensis,high,2001,13.317808507344434
halepensis,high,2002,13.110832071075425
halepensis,high,2003,12.85564453465739
halepensis,high,2004,12.683369188800228
halepensis,high,2005,12.708878027511874
halepensis,high,2006,12.98459741310896
halepensis,high,2007,12.517846913664343
halepensis,high,2008,12.510445248385878
halepensis,high,2009,13.487247192223698
halepensis,high,2010,12.658533682374506
halepensis,high,2011,12.934682562600877
halepensis,high,2012,12.905248144895765
halepensis,high,2013,12.3911789493992
halepensis,high,2014,13.193459424311634
halepensis,high,2015,13.34513056582108
halepensis,high,2016,13.016156204820724
halepensis,high,2017,13.708390317602428
halepensis,high,2018,12.153592562453065
halepensis,high,2019,13.217253561535372
halepensis,high,2020,13.567411626907447
halepensis,high,2021,13.334468136530386
halepensis,high,2022,14.667229260616406
halepensis,low,1971,13.413505498802454
halepensis,low,1972,13.321465201157455
halepensis,low,1973,14.021132232148831
halepensis,low,1974,14.066843965202494
halepensis,low,1975,13.663705827548329
halepensis,low,1976,13.10163300758592
halepensis,low,1977,13.788125351112559
halepensis,low,1978,13.882937144464062
halepensis,low,1979,13.92934651826277
halepensis,low,1980,13.55657150780421
halepensis,low,1981,14.686428562770333
halepensis,low,1982,14.174649892574203
halepensis,low,1983,14.96312273164407
halepensis,low,1984,13.768514414768315
halepensis,low,1985,15.003344831589363
halepensis,low,1986,14.636329368219215
halepensis,low,1987,15.002800842580951
halepensis,low,1988,14.921817754470379
halepensis,low,1989,15.190375687159822
halepensis,low,1990,15.146250649995213
halepensis,low,1991,14.576822835321433
halepensis,low,1992,14.276472315005474
halepensis,low,1993,14.004690844471401
halepensis,low,1994,15.654426533046346
halepensis,low,1995,15.44998018507828
halepensis,low,1996,13.906167972426731
halepensis,low,1997,14.792880808827942
halepensis,low,1998,14.880394286671114
halepensis,low,1999,15.035398746164743
halepensis,low,2000,15.072484191842197
halepensis,low,2001,15.396564906997309
halepensis,low,2002,15.092433462354139
halepensis,low,2003,14.970866600374839
halepensis,low,2004,14.65019531563604
halepensis,low,2005,14.485236830735476
halepensis,low,2006,15.127056450476127
halepensis,low,2007,14.684353600870446
halepensis,low,2008,14.631840943703764
halepensis,low,2009,15.36337236318865
halepensis,low,2010,14.526796601897919
halepensis,low,2011,15.046635937641904
halepensis,low,2012,15.136083607309873
halepensis,low,2013,14.434928351205798
halepensis,low,2014,15.502366211960027
halepensis,low,2015,15.65798576941215
halepensis,low,2016,15.349720647144695
halepensis,low,2017,15.58786545171342
halepensis,low,2018,14.571523288402782
halepensis,low,2019,15.329929598184712
halepensis,low,2020,15.801075272605205
halepensis,low,2021,15.511055396827624
halepensis,low,2022,16.533064513313604
halepensis,medium,1971,12.005694438335883
halepensis,medium,1972,11.947724322076487
halepensis,medium,1973,12.757762395570706
halepensis,medium,1974,12.839703666580926
halepensis,medium,1975,12.30619624379471
halepensis,medium,1976,11.584629220693076
halepensis,medium,1977,12.333553517937538
halepensis,medium,1978,12.380121604424911
halepensis,medium,1979,12.522013553156038
halepensis,medium,1980,12.173334888574932
halepensis,medium,1981,13.463219401326565
halepensis,medium,1982,12.852026365521134
halepensis,medium,1983,13.82817076132206
halepensis,medium,1984,12.461179697601244
halepensis,medium,1985,13.858990669175714
halepensis,medium,1986,13.448203416608933
halepensis,medium,1987,13.75881977162309
halepensis,medium,1988,13.578574970389065
halepensis,medium,1989,13.832032143531
halepensis,medium,1990,13.791251297569007
halepensis,medium,1991,13.306874726881324
halepensis,medium,1992,13.009219202000251
halepensis,medium,1993,12.741018292701938
halepensis,medium,1994,14.545901823886162
halepensis,medium,1995,14.20250383225912
halepensis,medium,1996,12.645040810851492
halepensis,medium,1997,13.549687013919696
halepensis,medium,1998,13.818432564355138
halepensis,medium,1999,13.980600363717937
halepensis,medium,2000,13.983968927803978
halepensis,medium,2001,14.311356885496982
halepensis,medium,2002,14.03288784102788
halepensis,medium,2003,13.757828990428404
halepensis,medium,2004,13.445309274567045
halepensis,medium,2005,13.292813654587004
halepensis,medium,2006,13.856213502922937
halepensis,medium,2007,13.403676427552105
halepensis,medium,2008,13.290858341082922
halepensis,medium,2009,14.158747452864098
halepensis,medium,2010,13.245887090386875
halepensis,medium,2011,13.701814529037268
halepensis,medium,2012,13.947599203619122
halepensis,medium,2013,13.131079744652897
halepensis,medium,2014,14.176278171965665
halepensis,medium,2015,14.409966073771466
halepensis,medium,2016,14.033546545104937
halepensis,medium,2017,14.378302636386277
halepensis,medium,2018,13.191443978372199
halepensis,medium,2019,14.066711457855751
halepensis,medium,2020,14.575521581781402
halepensis,medium,2021,14.22666793717248
halepensis,medium,2022,15.40011329177521
nigra,high,1971,8.87585316739015
nigra,high,1972,8.845278995997948
nigra,high,1973,10.030199707286929
nigra,high,1974,10.212046832672458
nigra,high,1975,9.236426018129823
nigra,high,1976,8.464083266970976
nigra,high,1977,9.079194853445673
nigra,high,1978,9.023621354728729
nigra,high,1979,9.346803617616853
nigra,high,1980,9.230813245561299
